fem,ment,phd,mar,kid5,art
0,8,1.38,1,2,3
0,7,4.29,0,0,0
0,47,3.85,0,0,4
0,19,3.59,1,1,1
0,0,1.81,1,0,1
0,6,3.59,1,1,1
0,10,2.12,1,1,0
0,2,4.29,1,0,0
0,2,2.58,1,2,3
0,4,1.8,1,1,3
0,0,4.29,1,2,1
0,3,2.76,1,1,0
0,10,3.41,1,1,1
0,7,4.34,1,3,2
0,15,3.85,1,2,5
0,2,2.1,1,0,2
0,13,4.29,1,0,2
0,15,4.29,0,0,1
0,5,2.26,1,1,0
0,6,2.1,0,0,0
0,12,2.26,1,0,3
0,16,3.85,1,1,6
0,7,4.29,0,0,4
0,6,1.8,1,2,2
0,2,2.26,0,0,2
0,0,2.1,0,0,0
0,30,4.29,1,0,4
0,10,4.29,1,2,1
0,2,2.1,1,0,1
0,1,3.59,1,0,7
0,3,3.42,1,1,2
0,10,4.29,1,2,2
0,10,4.29,0,0,2
0,1,3.34,1,2,0
0,2,4.29,0,0,0
0,11,4.29,1,0,1
0,5,3.62,1,0,4
0,0,4.29,1,3,1
0,4,4.34,1,1,1
0,2,1.25,1,1,2
0,19,4.34,0,0,7
0,3,1.67,1,3,1
0,0,3.47,0,0,0
0,1,2.26,1,1,1
0,1,1.8,1,0,1
0,17,4.34,1,2,2
0,3,3.59,0,0,2
0,1,1.75,1,2,1
0,6,4.29,0,0,1
0,0,2.1,1,1,0
0,15,4.29,1,2,0
0,0,2.1,1,1,0
0,27,3.32,1,2,2
0,5,4.34,1,0,2
0,7,3.41,0,0,4
0,0,4.29,1,0,1
0,11,3.19,1,0,2
0,13,4.29,1,0,2
0,4,1.74,1,2,1
0,4,2.76,0,0,1
0,27,3.59,1,1,7
0,10,1.81,1,0,4
0,13,4.29,1,1,2
0,1,4.29,1,1,1
0,6,2.76,0,0,1
0,6,3.47,0,0,6
0,5,2.5,1,2,2
0,2,1.25,1,0,5
0,14,3.59,1,1,3
0,0,2.1,1,1,0
0,12,3.59,1,0,1
0,7,3.59,1,3,0
0,3,1.75,1,0,1
0,2,1.75,1,2,1
0,2,3.59,1,1,1
0,2,4.29,0,0,1
0,0,4.29,0,0,0
0,0,2.1,1,1,0
0,0,2.61,1,0,3
0,30,4.29,1,0,5
0,21,1.74,1,0,16
0,5,2.76,1,0,1
0,9,4.29,0,0,0
0,8,2.76,1,2,1
0,25,4.29,1,2,3
0,0,3.47,1,1,5
0,5,2.58,1,2,0
0,1,2.14,1,0,0
0,5,2.26,0,0,0
0,0,4.29,1,2,3
0,15,4.29,1,0,3
0,30,4.29,0,0,3
0,2,2.2,1,0,0
0,6,1.8,1,2,3
0,0,2.1,1,2,1
0,13,4.29,1,1,1
0,0,4.29,0,0,0
0,12,2.1,1,1,0
0,30,4.29,1,2,2
0,5,1.81,1,1,1
0,10,4.34,1,0,1
0,5,4.29,1,1,0
0,4,2.5,1,2,1
0,13,2.05,1,2,4
0,8,3.47,1,0,3
0,6,2.61,1,1,1
0,6,4.29,1,2,1
0,25,4.29,0,0,2
0,2,4.29,1,1,2
0,9,4.34,1,0,6
0,10,2.12,1,1,0
0,3,2.76,1,0,2
0,2,4.29,1,2,0
0,0,2.5,1,0,1
0,6,4.34,1,0,5
0,8,2.76,1,1,2
0,10,3.19,1,1,2
0,8,4.62,0,0,3
0,6,3.15,1,2,0
0,21,2.55,1,1,4
0,4,1.52,1,0,0
0,2,1.72,1,2,4
0,1,1.78,1,1,2
0,17,2.86,1,1,1
0,30,4.62,1,2,0
0,5,4.14,0,0,1
0,13,2.96,1,1,6
0,11,2.55,1,0,1
0,19,2.21,1,1,0
0,5,3.09,1,0,3
0,66,4.54,1,2,4
0,0,1.78,1,0,3
0,3,2.21,1,3,0
0,3,2.39,1,1,1
0,0,2.96,1,0,0
0,8,2.51,1,1,0
0,0,1.97,1,2,2
0,5,4.14,0,0,0
0,29,4.25,1,1,4
0,11,2.86,1,2,0
0,23,2.96,1,1,9
0,46,2.96,1,2,2
0,8,4.62,1,1,6
0,5,3.69,1,2,0
0,1,3.15,1,1,0
0,9,4.62,0,0,2
0,2,3.36,1,0,0
0,7,3.69,0,0,4
0,11,3.54,1,0,1
0,57,2.96,1,1,4
0,16,2.56,1,1,1
0,0,2.32,1,0,0
0,3,2.32,1,0,0
0,1,0.92,1,2,0
0,10,4.54,1,0,0
0,11,4.54,1,3,0
0,11,1.76,1,1,5
0,16,2.56,0,0,1
0,5,2.39,1,1,0
0,9,3.4,1,0,2
0,20,2.87,1,2,2
0,21,4.54,1,2,4
0,5,2.83,1,0,4
0,6,1.68,1,0,0
0,12,3.54,0,0,3
0,0,1.76,1,0,2
0,11,3.15,1,3,1
0,3,2.51,1,0,0
0,16,3.69,1,1,0
0,11,1.76,1,1,4
0,5,1.86,1,1,12
0,1,2.76,1,3,0
0,16,4.62,1,1,1
0,12,4.25,1,0,5
0,11,2.54,1,0,4
0,0,2.2,1,1,0
0,0,1.76,1,0,2
0,3,2.86,1,3,3
0,13,3.4,1,2,0
0,45,4.54,1,1,1
0,47,1.86,1,1,9
0,7,1.52,1,0,0
0,7,2.56,1,1,2
0,19,2.21,1,0,0
0,9,3.69,1,0,7
0,77,1.78,1,1,1
0,0,1.18,1,1,0
0,4,2,1,0,1
0,19,2.21,1,0,0
0,12,4.14,1,2,0
0,1,2.86,1,3,0
0,17,2.86,1,1,1
0,6,2.54,0,0,7
0,4,2.86,1,1,0
0,6,2.52,0,0,4
0,3,1.52,1,1,2
0,5,3.09,1,1,3
0,3,1.18,1,1,0
0,3,1.42,1,0,0
0,15,4.62,0,0,7
0,0,2.96,1,2,1
0,10,4.54,0,0,2
0,42,4.54,0,0,7
0,3,2.51,1,2,1
0,7,3.15,1,1,2
0,0,2.5,1,0,1
0,6,2.96,1,3,1
0,4,1.68,1,0,0
0,0,1.22,1,1,1
0,2,1.52,1,0,1
0,5,2.21,1,1,0
0,1,3.92,1,1,0
0,13,4.54,1,0,5
0,0,1.18,1,0,2
0,26,3.69,1,0,3
0,1,1.72,1,0,2
0,25,2.58,1,1,5
0,3,1.52,0,0,3
0,47,1.86,1,1,4
0,4,2.5,1,0,5
0,1,4.62,1,0,1
0,7,1.4,1,2,0
0,5,4.54,1,0,3
0,27,1.68,1,1,0
0,1,2.83,1,0,2
0,5,3.36,0,0,1
0,0,1.97,1,1,7
0,12,3.4,0,0,1
0,4,1.74,1,1,1
0,0,2.96,0,0,0
0,25,2.58,1,1,4
0,3,4.54,1,1,1
0,2,3.15,1,1,0
0,12,2.96,1,2,0
0,16,3.54,1,2,2
0,5,2.96,1,1,3
0,12,4.25,1,0,1
0,5,2.56,1,1,2
0,5,1.86,1,0,1
0,3,4.62,1,1,1
0,4,2.86,0,0,2
0,5,3.15,1,1,5
0,0,2.51,1,0,2
0,27,3.15,1,1,5
0,5,2.51,1,0,2
0,0,1.52,1,1,0
0,18,4.29,0,0,6
0,5,4.29,1,1,4
0,8,4.29,1,2,2
0,4,2.1,1,0,2
0,35,4.29,1,1,12
0,5,4.29,0,0,2
0,9,3.59,1,1,1
0,6,4.29,1,0,1
0,24,4.29,1,0,2
0,0,2.1,1,1,0
0,5,1.81,1,1,0
0,19,4.29,0,0,7
0,3,4.29,0,0,1
0,2,4.29,1,1,1
0,4,1.25,1,0,3
0,10,3.59,1,0,1
0,8,2.1,1,1,1
0,2,4.29,1,0,4
0,19,4.29,1,1,3
0,1,3.47,1,1,1
0,3,3.19,1,0,1
0,5,3.19,1,2,1
0,0,2.1,1,0,1
0,21,3.59,1,1,5
0,14,4.29,1,1,1
0,0,2.1,1,0,0
0,7,2.76,1,1,1
0,5,2.61,1,0,3
0,22,4.29,1,0,4
0,20,3.41,0,0,7
0,38,4.29,1,0,3
0,19,4.29,0,0,4
0,3,2.26,0,0,2
0,16,3.59,0,0,3
0,2,4.29,1,1,0
0,3,2.05,0,0,1
0,12,4.29,1,2,1
0,35,4.29,0,0,0
0,19,4.29,1,0,0
0,2,4.29,0,0,0
0,7,2.76,0,0,1
0,4,2.1,1,2,3
0,14,2.36,0,0,1
0,9,4.29,0,0,0
0,8,3.59,0,0,0
0,12,4.29,1,1,2
0,3,4.29,1,1,0
0,1,4.29,1,0,1
0,10,4.29,0,0,1
0,21,3.41,0,0,4
0,13,4.29,1,1,0
0,17,4.29,1,0,2
0,5,4.29,0,0,0
0,2,2.14,0,0,0
0,8,4.29,1,0,0
0,2,2.5,1,1,2
0,5,2.61,1,1,3
0,1,1.81,1,2,0
0,2,2.26,1,1,0
0,4,3.62,1,2,1
0,9,4.29,1,2,1
0,9,4.29,0,0,0
0,17,4.29,0,0,2
0,24,4.29,1,2,0
0,4,3.47,1,0,4
0,14,4.29,1,1,2
0,5,3.59,1,1,1
0,10,1.81,0,0,1
0,18,4.29,1,1,3
0,1,4.29,1,1,0
0,0,2.1,1,0,1
0,4,2.15,1,2,0
0,8,4.29,1,0,0
0,1,2.26,1,0,1
0,8,4.29,1,0,0
0,13,4.29,1,2,0
0,5,3.59,1,2,0
0,7,3.41,1,2,0
0,7,3.59,0,0,3
0,5,3.62,1,1,3
0,0,2.1,1,3,1
0,14,4.29,0,0,1
0,6,4.29,1,0,0
0,5,2.26,1,1,1
0,8,2.76,1,0,3
0,4,2.61,1,1,1
0,9,4.29,0,0,2
0,3,2.1,1,1,2
0,2,3.47,1,1,0
0,0,2.1,0,0,0
0,11,4.29,0,0,1
0,9,4.29,0,0,1
0,8,2.96,1,0,1
0,2,2.96,1,0,2
0,18,4.62,1,0,3
0,3,1.42,1,0,3
0,2,4.54,1,0,1
0,7,2.52,1,0,0
0,10,4.54,1,1,2
0,16,2,1,1,1
0,5,2.54,1,0,0
0,0,2.5,1,0,2
0,8,4.54,0,0,0
0,10,3.36,0,0,1
0,18,3.4,1,1,0
0,12,1.68,1,1,1
0,9,2,0,0,1
0,39,2.86,1,0,1
0,18,4.62,1,0,1
0,15,4.14,1,0,1
0,16,4.14,1,0,2
0,2,2.96,0,0,0
0,7,2.83,1,2,3
0,24,2.55,1,0,2
0,8,1.68,1,0,1
0,7,2,0,0,1
0,11,2,1,1,1
0,0,2.96,1,1,4
0,4,1.5,1,0,4
0,21,3.54,1,0,2
0,6,3.4,0,0,1
0,6,4.62,0,0,0
0,8,2.83,0,0,3
0,4,2.54,1,0,1
0,12,2.87,0,0,1
0,15,1.86,0,0,1
0,0,3.92,1,1,1
0,5,3.69,1,1,1
0,15,2.86,1,2,4
0,5,4.54,0,0,0
0,8,4.62,0,0,0
0,13,2.86,1,1,0
0,2,3.4,0,0,1
0,6,2.58,1,2,4
0,20,4.25,1,0,3
0,7,1.76,1,1,2
0,7,2.86,1,3,0
0,16,3.69,1,2,4
0,13,3.4,1,0,0
0,0,3.4,1,2,0
0,1,4.54,1,2,0
0,12,2.87,0,0,3
0,7,1.76,1,0,4
0,4,4.25,0,0,1
0,0,3.92,0,0,3
0,4,3.36,1,0,2
0,4,2.32,1,0,1
0,37,4.54,0,0,2
0,23,3.36,1,1,0
0,8,2,1,3,2
0,8,3.92,1,1,1
0,2,3.92,0,0,1
0,0,3.36,0,0,1
0,1,1.78,1,0,1
0,21,3.54,1,1,1
0,10,3.92,0,0,2
0,8,2.32,0,0,3
0,34,1.68,1,0,1
0,14,3.09,0,0,2
0,6,2.58,1,1,0
0,14,3.4,0,0,6
0,12,2.87,0,0,3
0,18,4.62,0,0,4
0,3,2.96,1,3,0
0,6,1.86,1,2,2
0,2,1.22,1,1,0
0,11,2.51,1,2,6
0,11,2.51,1,0,8
0,5,3.69,1,0,2
0,8,2.96,1,0,3
0,4,1.78,1,0,1
0,1,1.22,1,1,1
0,8,2.86,1,0,0
0,19,3.69,0,0,7
0,2,2.12,0,0,0
0,10,2.52,1,1,2
0,4,2.32,1,0,1
0,3,4.62,1,0,2
0,2,3.54,1,2,4
0,1,2.5,1,0,0
0,5,1.68,0,0,0
0,2,3.4,1,1,1
0,5,3.92,0,0,0
0,53,4.54,1,1,5
0,55,4.54,0,0,2
0,0,2.5,0,0,0
0,11,4.54,1,0,2
0,25,3.54,0,0,3
0,5,1.52,1,0,2
0,2,3.92,1,2,0
0,8,4.62,1,0,2
0,0,3.92,1,0,3
0,5,2.32,1,2,0
0,8,2.96,1,2,2
0,7,2.86,1,2,1
0,14,1.95,1,1,3
0,2,3.92,1,2,1
0,5,2.87,0,0,1
0,24,3.69,1,0,3
0,3,3.69,1,0,0
0,4,2.39,0,0,2
0,3,1.95,1,2,3
0,11,3.36,0,0,5
0,4,2.39,1,1,2
0,26,3.69,0,0,2
0,4,2.96,1,1,5
0,2,3.21,1,0,0
0,0,2.12,1,2,0
0,53,4.54,1,1,2
0,4,2.32,1,0,3
0,6,2.54,1,1,3
0,2,2.86,1,1,1
0,14,3.47,1,0,3
0,15,2.87,0,0,4
0,4,2.32,1,0,0
0,15,1.86,1,2,4
0,4,1.95,1,0,2
0,2,2.32,1,2,0
0,20,4.25,1,2,1
0,4,1.97,0,0,6
0,42,1.86,1,0,19
0,8,3.69,1,1,0
0,3,4.54,1,1,0
0,9,3.54,1,0,4
0,10,4.54,1,1,1
0,7,2.86,1,2,11
0,25,3.36,1,0,0
0,3,2.86,0,0,0
0,4,2.96,1,2,0
0,22,2.56,1,2,1
0,8,1.63,1,0,2
0,14,2.96,0,0,0
0,0,2.96,1,0,1
0,8,1.63,1,1,1
0,0,2.96,0,0,0
0,21,2.96,1,2,2
0,7,2.96,1,0,1
0,31,4.54,1,2,3
0,2,4.54,1,2,2
0,10,2.15,0,0,1
0,6,4.54,1,1,2
0,12,2.21,1,2,2
0,1,2.21,1,1,0
0,29,4.54,0,0,2
0,10,2.21,1,1,3
0,6,2.21,1,0,0
0,37,4.54,1,0,3
0,5,4.54,0,0,4
1,9,2.12,0,0,0
1,2,2.12,1,0,0
1,2,2.12,1,0,2
1,3,2.12,1,0,3
1,9,2.12,1,1,1
1,11,2.39,0,0,3
1,5,2.58,0,0,2
1,7,3.19,1,0,4
1,5,3.75,0,0,0
1,3,3.59,0,0,1
1,2,2.58,0,0,2
1,0,3.75,0,0,3
1,5,3.75,1,0,0
1,1,3.75,0,0,0
1,4,1.22,1,2,2
1,14,3.75,0,0,0
1,7,3.75,1,0,0
1,26,3.75,0,0,0
1,8,3.75,0,0,2
1,3,3.75,0,0,4
1,6,3.75,0,0,0
1,21,3.75,0,0,1
1,8,3.75,1,0,2
1,4,3.75,0,0,0
1,7,3.75,1,1,1
1,0,3.75,1,0,2
1,0,2.54,1,1,0
1,1,2.54,1,0,0
1,4,2.76,0,0,0
1,2,4.14,0,0,0
1,4,0.92,0,0,1
1,0,1,0,0,0
1,6,3.09,0,0,2
1,3,3.09,1,1,2
1,0,1.79,0,0,0
1,3,1.4,0,0,1
1,3,1.4,0,0,4
1,0,1.4,1,0,2
1,0,1.4,0,0,2
1,14,1.4,0,0,0
1,12,1.4,0,0,1
1,2,1.4,0,0,1
1,6,2,0,0,1
1,11,4.34,1,0,2
1,6,4.34,1,0,4
1,0,1.75,0,0,0
1,36,2.1,1,0,6
1,8,2.1,0,0,1
1,2,2.1,0,0,0
1,11,3.59,1,0,2
1,11,3.59,1,2,2
1,18,3.59,0,0,0
1,4,3.59,0,0,0
1,18,3.59,1,0,10
1,8,3.59,0,0,1
1,19,3.41,1,0,3
1,4,3.41,1,0,4
1,5,3.41,1,2,0
1,7,3.4,0,0,1
1,4,3.4,1,1,2
1,5,3.4,1,0,4
1,14,3.4,1,0,1
1,4,3.4,1,0,0
1,4,2.52,0,0,3
1,0,2.52,0,0,1
1,15,3.69,1,1,2
1,1,3.69,1,0,1
1,3,3.69,1,1,0
1,18,3.69,0,0,1
1,15,2.87,0,0,0
1,5,2.87,1,0,1
1,18,2.87,1,0,1
1,9,2.87,0,0,2
1,6,2.87,0,0,4
1,15,2.87,1,0,1
1,4,3.36,0,0,2
1,2,3.36,1,2,0
1,3,3.36,0,0,2
1,7,3.36,0,0,0
1,16,4.54,1,0,4
1,48,4.54,1,2,2
1,15,4.54,1,0,5
1,37,4.54,0,0,1
1,10,4.54,1,0,2
1,13,4.54,0,0,2
1,6,4.54,1,2,0
1,13,0.76,0,0,0
1,7,4.54,1,1,2
1,9,4.54,1,0,2
1,5,4.54,0,0,2
1,15,4.54,0,0,6
1,3,4.54,0,0,3
1,14,4.54,0,0,0
1,2,1.28,1,0,1
1,4,1.28,1,0,4
1,4,1.28,1,0,0
1,0,2.5,1,1,0
1,47,3.85,1,2,2
1,29,3.85,1,0,1
1,1,3.85,1,1,5
1,18,3.85,0,0,1
1,13,2.05,0,0,1
1,17,2.05,0,0,1
1,2,2.05,0,0,2
1,4,1.78,1,0,4
1,1,1.18,1,0,1
1,3,1.52,1,0,0
1,9,1.48,1,0,2
1,12,4.29,0,0,0
1,17,4.29,0,0,1
1,5,4.29,0,0,3
1,2,3.09,1,0,2
1,0,3.09,0,0,2
1,3,3.62,0,0,5
1,7,3.62,0,0,0
1,8,3.62,0,0,0
1,0,4.29,0,0,0
1,6,2.61,1,1,1
1,7,2.61,1,0,1
1,9,2.1,0,0,0
1,8,2.96,1,0,2
1,10,2.39,0,0,0
1,3,1.95,1,0,1
1,14,3.41,0,0,2
1,1,4.29,0,0,2
1,11,3.59,0,0,2
1,10,4.62,0,0,1
1,6,2.14,0,0,1
1,11,2.86,0,0,0
1,5,3.47,0,0,2
1,14,4.62,1,1,3
1,9,3.19,1,3,1
1,1,2.51,0,0,1
1,0,2.12,0,0,0
1,3,3.19,0,0,0
1,4,1.74,1,1,2
1,0,1.25,1,0,0
1,7,3.69,1,0,0
1,5,3.21,0,0,0
1,15,4.62,1,1,0
1,24,2.86,1,0,5
1,9,2.39,1,1,1
1,0,1.18,1,0,3
1,7,3.36,0,0,2
1,8,1.97,0,0,2
1,22,1.64,1,0,1
1,7,3.92,1,0,2
1,6,3.32,0,0,6
1,6,2.58,0,0,5
1,23,4.54,0,0,2
1,2,2.39,1,0,0
1,9,3.59,0,0,4
1,7,3.69,0,0,2
1,10,3.19,0,0,2
1,4,2.32,0,0,2
1,11,3.47,1,1,2
1,4,3.69,0,0,2
1,5,2.32,1,1,3
1,11,3.19,0,0,1
1,19,4.54,0,0,1
1,3,3.36,1,1,0
1,5,2.58,1,0,2
1,7,3.21,1,1,2
1,3,1.4,0,0,1
1,10,2.5,0,0,4
1,0,3.19,1,2,0
1,3,3.36,0,0,0
1,9,3.15,0,0,6
1,7,1.45,1,0,2
1,7,2.86,1,2,1
1,49,4.62,1,1,3
1,2,3.69,1,0,0
1,19,2.96,1,0,1
1,12,3.09,1,1,1
1,1,3.09,0,0,0
1,12,4.62,0,0,2
1,13,2.86,1,0,0
1,2,3.21,0,0,0
1,3,2.83,1,0,2
1,22,4.29,0,0,1
1,35,4.29,0,0,0
1,1,3.09,1,0,2
1,4,3.69,0,0,0
1,1,1.79,1,0,0
1,2,3.36,1,1,0
1,14,2.58,1,0,4
1,24,3.75,0,0,1
1,5,3.19,0,0,2
1,1,2.1,0,0,0
1,8,3.59,1,1,0
1,1,3.92,0,0,0
1,24,3.32,1,1,1
1,2,2,0,0,0
1,2,3.47,1,0,0
1,14,3.21,1,0,4
1,5,2.05,0,0,3
1,1,2.52,0,0,0
1,7,3.15,1,0,0
1,38,1.86,1,2,6
1,3,2.86,0,0,2
1,4,4.29,1,1,4
1,0,1.25,1,2,0
1,19,3.21,1,0,5
1,5,2.32,1,1,1
1,3,3.19,0,0,4
1,2,3.19,1,0,1
1,11,3.36,1,0,3
1,14,3.54,1,1,1
1,6,1.86,1,0,0
1,13,1.5,0,0,0
1,7,2.39,1,0,1
1,11,4.29,1,1,2
1,9,2,1,1,0
1,4,3.92,0,0,1
1,6,4.29,1,0,2
1,6,3.36,0,0,1
1,14,4.62,1,0,3
1,6,2,0,0,1
1,5,3.59,1,0,2
1,6,2.87,0,0,1
1,4,2.96,0,0,0
1,11,3.47,1,0,0
1,8,3.19,1,0,4
1,3,2.86,1,1,0
1,16,2.52,1,0,2
1,6,4.29,0,0,1
1,0,1.25,0,0,1
1,2,1.83,1,0,0
1,12,4.29,0,0,3
1,8,2.96,1,0,0
1,1,2.32,1,0,1
1,11,1.22,1,1,0
1,11,4.29,1,0,1
1,2,4.25,0,0,1
1,36,2.55,0,0,2
1,11,1.95,1,0,1
1,2,3.69,0,0,0
1,25,4.29,0,0,1
1,5,3.19,1,0,2
1,12,3.54,1,1,4
1,5,3.54,1,0,4
1,8,3.54,1,1,0
1,1,1.86,1,1,3
1,3,4.62,0,0,4
1,16,4.62,1,0,1
1,10,4.62,1,0,3
1,13,4.54,1,0,1
1,1,3.47,1,0,0
1,16,2.86,0,0,0
1,7,2,1,0,0
1,2,2,0,0,0
1,3,2.61,1,0,0
1,6,2.05,0,0,0
1,6,2.05,0,0,0
1,5,3.54,0,0,0
1,0,0.92,1,0,2
1,0,1.79,1,0,0
1,6,2,1,0,0
1,8,3.15,0,0,4
1,16,2.26,1,0,5
1,4,2.26,0,0,1
1,1,4.29,1,0,6
1,21,4.29,1,0,1
1,9,4.54,0,0,1
1,3,3.36,1,1,0
1,2,2.52,0,0,0
1,10,4.29,0,0,3
1,9,4.29,0,0,0
1,12,4.54,0,0,2
1,0,2.5,0,0,0
1,2,2.76,0,0,1
1,0,2.55,1,1,0
1,0,4.62,1,0,0
1,6,1.63,0,0,2
1,3,3.47,1,0,1
1,31,3.41,1,0,2
1,1,4.29,0,0,0
1,7,2.96,1,0,0
1,0,4.62,1,0,5
1,12,3.59,1,0,0
1,12,3.69,1,0,3
1,2,4.54,1,0,1
1,11,3.34,0,0,4
1,2,2.51,1,1,4
1,4,3.15,1,0,3
1,3,3.19,1,0,1
1,18,3.19,0,0,1
1,2,3.85,0,0,1
1,4,3.34,1,1,2
1,15,4.29,0,0,2
1,4,4.29,0,0,2
1,21,4.29,0,0,2
1,4,4.29,1,1,0
1,0,2.96,1,0,0
1,1,1.78,1,0,0
1,17,3.54,1,2,1
1,3,3.69,1,0,0
1,2,3.36,0,0,3
1,2,3.54,1,0,0
1,1,3.54,1,1,0
1,3,1.22,1,1,3
1,4,3.36,0,0,1
1,2,2.21,0,0,1
1,4,2.25,0,0,1
1,17,4.62,1,1,2
1,5,3.59,1,0,1
1,1,4.29,1,0,0
1,2,2.12,0,0,2
1,3,2.26,0,0,2
1,3,2.26,1,0,4
1,5,4.29,0,0,0
1,3,3.59,1,1,3
1,13,4.29,1,2,1
1,2,2,0,0,1
1,0,1.97,1,2,0
1,8,3.92,1,0,0
1,39,2.86,0,0,4
1,26,2.83,0,0,2
1,3,3.36,1,1,3
1,23,2.56,0,0,4
1,8,1.63,0,0,1
1,22,4.62,0,0,3
1,5,4.62,0,0,1
1,21,4.29,1,0,3
1,6,4.29,1,1,0
1,4,4.29,1,1,2
1,24,4.29,1,0,6
1,6,4.29,1,0,1
1,34,3.36,0,0,1
1,0,3.21,0,0,2
1,10,2,0,0,1
1,2,3.21,1,2,2
1,3,2.58,1,2,2
1,3,2.58,1,0,0
1,1,2.83,0,0,0
1,6,3.19,0,0,1
1,3,3.47,0,0,1
1,23,4.62,1,0,2
1,13,4.25,1,0,4
1,5,1.86,1,0,2
1,9,4.29,1,1,0
1,9,3.36,0,0,0
1,10,1.8,1,0,2
1,0,1.66,0,0,1
1,6,2.86,0,0,0
1,14,4.62,0,0,2
1,3,4.29,0,0,0
1,5,2.36,1,0,4
1,11,1.81,1,0,1
1,32,3.59,1,0,1
1,10,1.76,0,0,0
1,5,2,1,0,1
1,14,3.59,0,0,5
1,6,2.26,1,0,3
1,4,2.26,0,0,1
1,4,1.76,1,1,1
1,1,3.59,1,0,1
1,1,3.59,1,0,0
1,5,2.83,1,1,1
1,2,2.58,0,0,1
1,18,4.62,1,0,1
1,15,2.32,0,0,1
1,0,2.39,1,0,0
1,22,2.96,1,0,3
1,11,2.12,0,0,0
1,18,4.62,1,0,1
1,3,2.25,1,0,1
1,8,1.76,1,0,1
1,12,4.54,0,0,6
1,10,3.69,1,1,2
1,2,1.25,0,0,0
1,5,1.25,1,0,1
1,4,3.19,1,0,0
1,0,2.58,1,2,0
1,7,2,1,1,2
1,1,2.76,0,0,0
1,4,2.54,0,0,2
1,0,3.19,0,0,0
1,9,3.09,1,2,1
1,4,3.19,0,0,2
1,0,3.09,0,0,0
1,8,2.26,0,0,2
1,9,2.26,1,1,1
1,8,3.36,1,0,2
1,9,3.15,1,0,1
1,4,4.54,1,0,0
1,0,3.59,1,0,2
1,3,3.47,1,0,1
1,2,2.86,1,1,1
1,6,2.26,1,0,0
1,4,3.47,1,1,2
1,0,2.76,1,0,0
1,2,3.59,1,2,0
1,13,3.75,0,0,5
1,2,2.58,1,2,1
1,2,3.59,1,1,2
1,16,1.89,1,2,3
1,9,3.15,0,0,7
1,12,2.87,0,0,5
1,1,2.12,1,2,0
1,4,4.62,1,0,1
1,0,2.39,0,0,0
1,11,2.12,0,0,0
1,5,1.81,1,0,0
1,8,2.32,0,0,4
1,15,2.39,0,0,0
1,6,3.75,1,0,3
1,0,2,0,0,0
1,14,3.59,1,1,0
1,5,4.29,0,0,2
1,0,2.58,1,0,0
1,5,4.62,1,0,0
1,3,1.5,0,0,0
1,4,3.75,1,0,2
1,4,3.75,1,2,0
1,0,1.75,1,0,1
1,0,2.12,1,0,1
1,5,3.75,0,0,2
1,0,0.76,0,0,0
1,7,2.25,0,0,1
1,3,3.19,0,0,1
